Z: 0, X: 0, Y: 0
Z: 1, X: 1339, Y: 815
Z: 2, X: 1336, Y: 816
Z: 3, X: 1336, Y: 816
Z: 4, X: 1336, Y: 816
Z: 5, X: 1336, Y: 816
Z: 6, X: 1336, Y: 816
Z: 7, X: 1336, Y: 816
Z: 8, X: 1336, Y: 816
Z: 9, X: 1336, Y: 816
Z: 10, X: 1336, Y: 816
Z: 11, X: 1336, Y: 816
Z: 12, X: 1336, Y: 816
Z: 13, X: 1336, Y: 816
Z: 14, X: 1336, Y: 816
Z: 15, X: 1336, Y: 816
Z: 16, X: 1336, Y: 816
Z: 17, X: 1336, Y: 816
Z: 18, X: 1336, Y: 816
Z: 19, X: 1336, Y: 816
Z: 20, X: 1336, Y: 816
Z: 21, X: 1336, Y: 816
Z: 22, X: 1336, Y: 816
Z: 23, X: 1336, Y: 816
Z: 24, X: 1336, Y: 816
Z: 25, X: 1336, Y: 816
Z: 26, X: 1336, Y: 816
Z: 27, X: 1336, Y: 816
Z: 28, X: 1336, Y: 816
Z: 29, X: 1336, Y: 816
Z: 30, X: 1336, Y: 816
Z: 31, X: 1336, Y: 816
Z: 32, X: 1336, Y: 816
Z: 33, X: 1336, Y: 816
Z: 34, X: 1336, Y: 816
Z: 35, X: 1336, Y: 816
Z: 36, X: 1336, Y: 816
Z: 37, X: 1336, Y: 816
Z: 38, X: 1336, Y: 816
Z: 39, X: 1336, Y: 816
Z: 40, X: 1336, Y: 816
Z: 41, X: 1336, Y: 816
Z: 42, X: 1336, Y: 816
Z: 43, X: 1336, Y: 816
Z: 44, X: 1336, Y: 814
Z: 45, X: 1335, Y: 812
Z: 46, X: 1334, Y: 810
Z: 47, X: 1334, Y: 809
Z: 48, X: 1334, Y: 809
Z: 49, X: 1334, Y: 809
Z: 50, X: 1334, Y: 809
Z: 51, X: 1334, Y: 809
Z: 52, X: 1334, Y: 809
Z: 53, X: 1334, Y: 809
Z: 54, X: 1334, Y: 809
Z: 55, X: 1334, Y: 809
Z: 56, X: 1334, Y: 809
Z: 57, X: 1334, Y: 809
Z: 58, X: 1334, Y: 809
Z: 59, X: 1334, Y: 809
Z: 60, X: 1334, Y: 809
Z: 61, X: 1334, Y: 809
Z: 62, X: 1334, Y: 809
Z: 63, X: 1334, Y: 809
Z: 64, X: 1333, Y: 808
Z: 65, X: 1332, Y: 805
Z: 66, X: 1332, Y: 805
Z: 67, X: 1331, Y: 805
Z: 68, X: 1331, Y: 805
Z: 69, X: 1331, Y: 805
Z: 70, X: 1331, Y: 805
Z: 71, X: 1331, Y: 805
Z: 72, X: 1331, Y: 805
Z: 73, X: 1331, Y: 805
Z: 74, X: 1331, Y: 805
Z: 75, X: 1331, Y: 805
Z: 76, X: 1331, Y: 805
Z: 77, X: 1331, Y: 805
Z: 78, X: 1331, Y: 805
Z: 79, X: 1331, Y: 805
Z: 80, X: 1331, Y: 805
Z: 81, X: 1331, Y: 805
Z: 82, X: 1331, Y: 805
Z: 83, X: 1331, Y: 805
Z: 84, X: 1331, Y: 805
Z: 85, X: 1331, Y: 805
Z: 86, X: 1331, Y: 805
Z: 87, X: 1331, Y: 805
Z: 88, X: 1331, Y: 805
Z: 89, X: 1331, Y: 805
Z: 90, X: 1331, Y: 805
Z: 91, X: 1331, Y: 805
Z: 92, X: 1331, Y: 805
Z: 93, X: 1331, Y: 805
Z: 94, X: 1332, Y: 805
Z: 95, X: 1332, Y: 805
Z: 96, X: 1332, Y: 805
Z: 97, X: 1332, Y: 805
Z: 98, X: 1332, Y: 805
Z: 99, X: 1332, Y: 805
Z: 100, X: 1332, Y: 805
Z: 101, X: 1332, Y: 805
Z: 102, X: 1332, Y: 805
Z: 103, X: 1332, Y: 805
Z: 104, X: 1332, Y: 805
Z: 105, X: 1332, Y: 805
Z: 106, X: 1332, Y: 805
Z: 107, X: 1332, Y: 805
Z: 108, X: 1331, Y: 805
Z: 109, X: 1330, Y: 804
Z: 110, X: 1329, Y: 804
Z: 111, X: 1329, Y: 803
Z: 112, X: 1329, Y: 803
Z: 113, X: 1329, Y: 803
Z: 114, X: 1329, Y: 803
Z: 115, X: 1329, Y: 803
Z: 116, X: 1329, Y: 803
Z: 117, X: 1329, Y: 803
Z: 118, X: 1329, Y: 803
Z: 119, X: 1329, Y: 803
Z: 120, X: 1326, Y: 802
Z: 121, X: 1322, Y: 801
Z: 122, X: 1322, Y: 801
Z: 123, X: 1322, Y: 800
Z: 124, X: 1322, Y: 800
Z: 125, X: 1322, Y: 800
Z: 126, X: 1322, Y: 800
Z: 127, X: 1322, Y: 800
Z: 128, X: 1322, Y: 800
Z: 129, X: 1322, Y: 800
Z: 130, X: 1322, Y: 800
Z: 131, X: 1322, Y: 800
Z: 132, X: 1322, Y: 800
Z: 133, X: 1322, Y: 800
Z: 134, X: 1322, Y: 800
Z: 135, X: 1322, Y: 800
Z: 136, X: 1322, Y: 800
Z: 137, X: 1322, Y: 800
Z: 138, X: 1322, Y: 800
Z: 139, X: 1322, Y: 800
Z: 140, X: 1326, Y: 799
Z: 141, X: 1326, Y: 799
Z: 142, X: 1326, Y: 799
Z: 143, X: 1326, Y: 799
Z: 144, X: 1326, Y: 799
Z: 145, X: 1326, Y: 799
Z: 146, X: 1326, Y: 799
Z: 147, X: 1326, Y: 799
Z: 148, X: 1326, Y: 799
Z: 149, X: 1326, Y: 799
Z: 150, X: 1326, Y: 799
Z: 151, X: 1326, Y: 799
Z: 152, X: 1326, Y: 799
Z: 153, X: 1326, Y: 799
Z: 154, X: 1326, Y: 799
Z: 155, X: 1326, Y: 799
