z,y,x
0,7808,4204
1,7808,4204
2,7808,4204
3,7808,4204
4,7808,4204
5,7808,4200
6,7808,4196
7,7808,4192
8,7808,4188
9,7808,4187
10,7808,4186
11,7808,4185
12,7808,4184
13,7808,4184
14,7808,4184
15,7808,4184
16,7808,4184
17,7808,4184
18,7808,4184
19,7808,4184
20,7808,4184
21,7808,4184
22,7808,4184
23,7808,4184
24,7808,4184
25,7808,4183
26,7808,4182
27,7808,4181
28,7808,4180
29,7808,4180
30,7808,4180
31,7808,4180
32,7808,4180
33,7808,4180
34,7808,4180
35,7808,4180
36,7808,4180
37,7808,4180
38,7808,4180
39,7808,4180
40,7808,4180
41,7808,4180
42,7808,4180
43,7808,4180
44,7808,4180
45,7808,4180
46,7808,4180
47,7808,4180
48,7808,4180
49,7808,4180
50,7808,4180
51,7808,4180
52,7808,4180
53,7808,4180
54,7808,4180
55,7808,4180
56,7808,4180
57,7808,4180
58,7808,4180
59,7808,4180
60,7808,4180
61,7808,4180
62,7808,4180
63,7808,4180
64,7808,4180
65,7808,4184
66,7808,4188
67,7808,4192
68,7808,4196
69,7808,4196
70,7808,4196
71,7808,4196
72,7808,4196
73,7808,4196
74,7808,4196
75,7808,4196
76,7808,4196
77,7808,4196
78,7808,4196
79,7808,4196
80,7808,4196
81,7808,4195
82,7808,4194
83,7808,4193
84,7808,4192
85,7808,4192
86,7808,4192
87,7808,4192
88,7808,4192
89,7808,4192
90,7808,4192
91,7808,4192
92,7808,4192
93,7808,4192
94,7808,4192
95,7808,4192
96,7808,4192
97,7808,4192
98,7808,4192
99,7808,4192
100,7808,4192
101,7808,4192
102,7808,4192
103,7808,4192
104,7808,4192
105,7808,4193
106,7808,4194
107,7808,4195
108,7808,4196
109,7808,4196
110,7808,4196
111,7808,4196
112,7808,4196
113,7808,4196
114,7808,4196
115,7808,4196
116,7808,4196
117,7808,4196
118,7808,4196
119,7808,4196
120,7808,4196
121,7808,4196
122,7808,4196
123,7808,4196
124,7808,4196
125,7808,4196
126,7808,4196
127,7808,4196
128,7808,4196
129,7808,4196
130,7808,4196
131,7808,4196
132,7808,4196
133,7808,4196
134,7808,4196
135,7808,4196
136,7808,4196
137,7808,4197
138,7808,4198
139,7808,4199
140,7808,4200
141,7808,4200
142,7808,4200
143,7808,4200
144,7808,4200
145,7808,4200
146,7808,4200
147,7808,4200
148,7808,4200
149,7808,4200
150,7808,4200
151,7808,4200
152,7808,4200
153,7808,4200
154,7808,4200
155,7808,4200
156,7808,4200
157,7808,4200
158,7808,4200
159,7808,4200
160,7808,4200
161,7808,4200
162,7808,4200
163,7808,4200
164,7808,4200
165,7808,4201
166,7808,4202
167,7808,4203
168,7808,4204
169,7808,4204
170,7808,4204
171,7808,4204
172,7808,4204
173,7808,4205
174,7808,4206
175,7808,4207
176,7808,4208
177,7808,4208
178,7808,4208
179,7808,4208
180,7808,4208
181,7808,4209
182,7808,4210
183,7808,4211
184,7808,4212
185,7808,4212
186,7808,4212
187,7808,4212
188,7808,4212
189,7808,4212
190,7808,4212
191,7808,4212
192,7808,4212
193,7808,4209
