Z: 1, X: 1051, Y: 1952
Z: 2, X: 1047, Y: 1952
Z: 3, X: 1046, Y: 1952
Z: 4, X: 1046, Y: 1952
Z: 5, X: 1046, Y: 1952
Z: 6, X: 1046, Y: 1952
Z: 7, X: 1045, Y: 1952
Z: 8, X: 1045, Y: 1952
Z: 9, X: 1045, Y: 1952
Z: 10, X: 1045, Y: 1952
Z: 11, X: 1045, Y: 1952
Z: 12, X: 1045, Y: 1952
Z: 13, X: 1045, Y: 1952
Z: 14, X: 1045, Y: 1952
Z: 15, X: 1045, Y: 1952
Z: 16, X: 1045, Y: 1952
Z: 17, X: 1049, Y: 1952
Z: 18, X: 1049, Y: 1952
Z: 19, X: 1049, Y: 1952
Z: 20, X: 1049, Y: 1952
Z: 21, X: 1048, Y: 1952
Z: 22, X: 1048, Y: 1952
Z: 23, X: 1048, Y: 1952
Z: 24, X: 1048, Y: 1952
Z: 25, X: 1048, Y: 1952
Z: 26, X: 1048, Y: 1952
Z: 27, X: 1049, Y: 1952
Z: 28, X: 1049, Y: 1952
Z: 29, X: 1049, Y: 1952
Z: 30, X: 1049, Y: 1952
Z: 31, X: 1049, Y: 1952
Z: 32, X: 1049, Y: 1952
Z: 33, X: 1049, Y: 1952
Z: 34, X: 1049, Y: 1952
Z: 35, X: 1050, Y: 1952
Z: 36, X: 1050, Y: 1952
Z: 37, X: 1050, Y: 1952
Z: 38, X: 1050, Y: 1952
Z: 39, X: 1050, Y: 1952
Z: 40, X: 1050, Y: 1952
Z: 41, X: 1050, Y: 1952
Z: 42, X: 1051, Y: 1952
Z: 43, X: 1051, Y: 1952
Z: 44, X: 1052, Y: 1952
Z: 45, X: 1052, Y: 1952
Z: 46, X: 1053, Y: 1952
Z: 47, X: 1053, Y: 1952
Z: 48, X: 1053, Y: 1952
Z: 49, X: 1050, Y: 1952
Z: 50, X: 1050, Y: 1952
Z: 51, X: 1050, Y: 1952
Z: 52, X: 1048, Y: 1952
Z: 53, X: 1048, Y: 1952
Z: 54, X: 1048, Y: 1952
Z: 55, X: 1048, Y: 1952
Z: 56, X: 1048, Y: 1952
Z: 57, X: 1048, Y: 1952
Z: 58, X: 1048, Y: 1952
Z: 59, X: 1048, Y: 1952
Z: 60, X: 1049, Y: 1952
Z: 61, X: 1049, Y: 1952
Z: 62, X: 1049, Y: 1952
Z: 63, X: 1049, Y: 1952
Z: 64, X: 1049, Y: 1952
Z: 65, X: 1049, Y: 1952
Z: 66, X: 1049, Y: 1952
Z: 67, X: 1050, Y: 1952
Z: 68, X: 1050, Y: 1952
Z: 69, X: 1050, Y: 1952
Z: 70, X: 1050, Y: 1952
Z: 71, X: 1051, Y: 1952
Z: 72, X: 1052, Y: 1952
Z: 73, X: 1052, Y: 1952
Z: 74, X: 1055, Y: 1952
Z: 75, X: 1055, Y: 1952
Z: 76, X: 1056, Y: 1952
Z: 77, X: 1058, Y: 1952
Z: 78, X: 1060, Y: 1952
Z: 79, X: 1061, Y: 1952
Z: 80, X: 1063, Y: 1952
Z: 81, X: 1066, Y: 1952
Z: 82, X: 1057, Y: 1952
Z: 83, X: 1057, Y: 1952
Z: 84, X: 1057, Y: 1952
Z: 85, X: 1057, Y: 1952
Z: 86, X: 1057, Y: 1952
Z: 87, X: 1057, Y: 1952
Z: 88, X: 1056, Y: 1952
Z: 89, X: 1056, Y: 1952
Z: 90, X: 1056, Y: 1952
Z: 91, X: 1057, Y: 1952
Z: 92, X: 1058, Y: 1952
Z: 93, X: 1058, Y: 1952
Z: 94, X: 1058, Y: 1952
Z: 95, X: 1059, Y: 1952
Z: 96, X: 1060, Y: 1952
