/Users/forrest/miniconda3/bin/python /Users/forrest/vesuviusfullsolve/scripts/viewer2d.py
Z: 0, Y: 0, X: 0
2024-12-18 13:44:25.926 python[93417:5842067] +[IMKClient subclass]: chose IMKClient_Legacy
2024-12-18 13:44:25.926 python[93417:5842067] +[IMKInputSession subclass]: chose IMKInputSession_Legacy
Z: 1, Y: 39, X: 704
Z: 2, Y: 52, X: 642
Z: 3, Y: 59, X: 634
Z: 4, Y: 67, X: 631
Z: 5, Y: 74, X: 631
Z: 6, Y: 78, X: 630
Z: 7, Y: 81, X: 629
Z: 8, Y: 87, X: 623
Z: 9, Y: 90, X: 615
Z: 10, Y: 94, X: 608
Z: 11, Y: 95, X: 604
Z: 12, Y: 95, X: 596
Z: 13, Y: 95, X: 581
Z: 14, Y: 95, X: 566
Z: 15, Y: 92, X: 548
Z: 16, Y: 89, X: 537
Z: 17, Y: 87, X: 532
Z: 18, Y: 87, X: 523
Z: 19, Y: 87, X: 519
Z: 20, Y: 87, X: 519
Z: 21, Y: 87, X: 519
Z: 22, Y: 87, X: 516
Z: 23, Y: 91, X: 483
Z: 24, Y: 92, X: 473
Z: 25, Y: 92, X: 466
Z: 26, Y: 92, X: 457
Z: 27, Y: 92, X: 449
Z: 28, Y: 93, X: 442
Z: 29, Y: 94, X: 434
Z: 30, Y: 95, X: 427
Z: 31, Y: 97, X: 420
Z: 32, Y: 100, X: 413
Z: 33, Y: 103, X: 406
Z: 34, Y: 106, X: 400
Z: 35, Y: 111, X: 393
Z: 36, Y: 116, X: 388
Z: 37, Y: 120, X: 385
Z: 38, Y: 126, X: 382
Z: 39, Y: 131, X: 381
Z: 40, Y: 136, X: 379
Z: 41, Y: 142, X: 378
Z: 42, Y: 147, X: 378
Z: 43, Y: 155, X: 376
Z: 44, Y: 162, X: 373
Z: 45, Y: 165, X: 368
Z: 46, Y: 166, X: 363
Z: 47, Y: 166, X: 355
Z: 48, Y: 166, X: 351
Z: 49, Y: 165, X: 346
Z: 50, Y: 163, X: 337
Z: 51, Y: 163, X: 327
Z: 52, Y: 166, X: 319
Z: 53, Y: 171, X: 313
Z: 54, Y: 177, X: 307
Z: 55, Y: 185, X: 301
Z: 56, Y: 191, X: 299
Z: 57, Y: 197, X: 301
Z: 58, Y: 203, X: 304
Z: 59, Y: 223, X: 314
Z: 60, Y: 244, X: 319
Z: 61, Y: 258, X: 323
Z: 62, Y: 260, X: 326
Z: 63, Y: 260, X: 326
Z: 64, Y: 260, X: 326
Z: 65, Y: 272, X: 318
Z: 66, Y: 279, X: 316
Z: 67, Y: 286, X: 314
Z: 68, Y: 288, X: 313
Z: 69, Y: 285, X: 298
Z: 70, Y: 284, X: 289
Z: 71, Y: 284, X: 283
Z: 72, Y: 290, X: 272
Z: 73, Y: 300, X: 262
Z: 74, Y: 309, X: 259
Z: 75, Y: 318, X: 258
Z: 76, Y: 323, X: 258
Z: 77, Y: 333, X: 258
Z: 78, Y: 352, X: 257
Z: 79, Y: 352, X: 257
Z: 80, Y: 352, X: 257
Z: 81, Y: 352, X: 257
Z: 82, Y: 362, X: 260
Z: 83, Y: 376, X: 264
Z: 84, Y: 388, X: 266
Z: 85, Y: 402, X: 270
Z: 86, Y: 409, X: 273
Z: 87, Y: 414, X: 273
Z: 88, Y: 419, X: 274
Z: 89, Y: 425, X: 277
Z: 90, Y: 438, X: 283
Z: 91, Y: 441, X: 286
Z: 92, Y: 451, X: 295
Z: 93, Y: 472, X: 312
Z: 94, Y: 473, X: 315
Z: 95, Y: 473, X: 316
Z: 96, Y: 473, X: 316
Z: 97, Y: 473, X: 316
Z: 98, Y: 477, X: 319
Z: 99, Y: 489, X: 333
Z: 100, Y: 492, X: 338
Z: 101, Y: 499, X: 347
Z: 102, Y: 503, X: 354
Z: 103, Y: 507, X: 360
Z: 104, Y: 508, X: 362
Z: 105, Y: 515, X: 369
Z: 106, Y: 525, X: 375
Z: 107, Y: 529, X: 379
Z: 108, Y: 540, X: 391
Z: 109, Y: 540, X: 391
Z: 110, Y: 540, X: 391
Z: 111, Y: 540, X: 391
Z: 112, Y: 546, X: 402
