/Users/forrest/miniconda3/bin/python /Users/forrest/vesuviusfullsolve/scripts/viewer2d.py
Z: 0, Y: 0, X: 0
2024-12-18 13:47:26.356 python[93453:5844294] +[IMKClient subclass]: chose IMKClient_Legacy
2024-12-18 13:47:26.356 python[93453:5844294] +[IMKInputSession subclass]: chose IMKInputSession_Legacy
Z: 1, Y: 27, X: 714
Z: 2, Y: 25, X: 724
Z: 3, Y: 27, X: 731
Z: 4, Y: 28, X: 735
Z: 5, Y: 30, X: 737
Z: 6, Y: 34, X: 745
Z: 7, Y: 39, X: 755
Z: 8, Y: 43, X: 764
Z: 9, Y: 46, X: 773
Z: 10, Y: 48, X: 779
Z: 11, Y: 50, X: 786
Z: 12, Y: 52, X: 795
Z: 13, Y: 54, X: 810
Z: 14, Y: 59, X: 827
Z: 15, Y: 59, X: 827
Z: 16, Y: 59, X: 827
Z: 17, Y: 60, X: 833
Z: 18, Y: 67, X: 848
Z: 19, Y: 71, X: 857
Z: 20, Y: 77, X: 869
Z: 21, Y: 82, X: 885
Z: 22, Y: 87, X: 905
Z: 23, Y: 89, X: 917
Z: 24, Y: 91, X: 926
Z: 25, Y: 96, X: 944
Z: 26, Y: 116, X: 995
Z: 27, Y: 128, X: 1011
Z: 28, Y: 128, X: 1011
Z: 29, Y: 128, X: 1011
Z: 30, Y: 128, X: 1011
Z: 31, Y: 139, X: 1011
Z: 32, Y: 150, X: 1011
Z: 33, Y: 161, X: 1011
Z: 34, Y: 172, X: 1011
Z: 35, Y: 183, X: 1011
Z: 36, Y: 192, X: 1011
Z: 37, Y: 202, X: 1011
Z: 38, Y: 214, X: 1011
Z: 39, Y: 229, X: 1011
Z: 40, Y: 240, X: 1011
Z: 41, Y: 263, X: 1011
Z: 42, Y: 279, X: 1011
Z: 43, Y: 290, X: 1011
Z: 44, Y: 294, X: 1011
Z: 45, Y: 299, X: 1011
Z: 46, Y: 307, X: 1011
Z: 47, Y: 317, X: 1011
Z: 48, Y: 320, X: 1011
Z: 49, Y: 325, X: 1011
Z: 50, Y: 340, X: 1011
Z: 51, Y: 341, X: 1011
Z: 52, Y: 341, X: 1011
Z: 53, Y: 342, X: 1011
Z: 54, Y: 365, X: 1011
Z: 55, Y: 391, X: 1011
Z: 56, Y: 400, X: 1011
Z: 57, Y: 412, X: 1011
Z: 58, Y: 421, X: 1011
Z: 59, Y: 431, X: 1011
Z: 60, Y: 443, X: 1011
Z: 61, Y: 463, X: 1011
Z: 62, Y: 463, X: 1011
Z: 63, Y: 463, X: 1011
Z: 64, Y: 463, X: 1011
Z: 65, Y: 471, X: 1011
Z: 66, Y: 482, X: 1011
Z: 67, Y: 489, X: 1011
Z: 68, Y: 497, X: 1011
Z: 69, Y: 504, X: 1011
Z: 70, Y: 512, X: 1011
Z: 71, Y: 521, X: 1011
Z: 72, Y: 530, X: 995
Z: 73, Y: 542, X: 974
Z: 74, Y: 558, X: 950
Z: 75, Y: 577, X: 923
Z: 76, Y: 587, X: 902
Z: 77, Y: 587, X: 902
Z: 78, Y: 587, X: 902
Z: 79, Y: 587, X: 894
